BASE_DE,GID_ID,GID_LO,GID_LA,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,ADSTRD_CD,ADSTRD_NM,WKDAY_NM,MVMN_TIME,SEXDSTN_FLAG_CD,AGRDE_CO,PDSTRN_POPLTN_CO,PDSTRN_ELSE_POPLTN_CO
20201109,"83,752,407",127.0650101,37.83763886,41,경기도,4163,양주시,41630530,회천1동,월,23,M,2,20,3
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,10,F,5,17,12
20201109,"85,559,534",127.1309204,37.4953537,11,서울특별시,1171,송파구,11710632,가락2동,월,16,M,4,5,9
20201109,"83,752,407",127.0650101,37.83763886,41,경기도,4163,양주시,41630530,회천1동,월,16,M,4,13,3
20201109,"127,535,844",128.5829773,35.2074852,48,경상남도,4812,창원시,48125630,오동동,월,18,M,6,4,4
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,15,F,6,9,6
20201116,"74,424,752",126.7348557,37.72870255,41,경기도,4148,파주시,41480560,운정2동,월,16,F,3,12,5
20201116,"87,143,779",127.1862717,37.65054703,41,경기도,4136,남양주시,41360259,진건읍,월,11,M,5,4,9
20201116,"80,679,980",126.9579468,37.55823517,11,서울특별시,1141,서대문구,11410555,북아현동,월,7,M,5,15,9
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,17,F,3,31,8
20201116,"143,006,759",129.1129456,35.14839172,26,부산광역시,2650,수영구,26500660,남천1동,월,16,M,6,4,3
20201116,"83,063,903",127.042099,37.59103775,11,서울특별시,1123,동대문구,11230705,청량리동,월,18,F,5,6,6
20201116,"86,503,616",127.1640091,37.55899811,11,서울특별시,1174,강동구,11740560,고덕2동,월,8,M,1,6,6
20201116,"72,040,077",126.6545258,37.35680389,28,인천광역시,2818,연수구,28185840,송도3동,월,12,F,4,4,5
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,9,F,6,9,5
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,8,F,0,3,3
20201115,"76,008,194",126.792984,37.52220917,41,경기도,4119,부천시,41190606,부천동,일,18,M,1,34,10
20201115,"76,008,194",126.792984,37.52220917,41,경기도,4119,부천시,41190606,부천동,일,17,F,4,15,28
20201115,"76,008,194",126.792984,37.52220917,41,경기도,4119,부천시,41190606,부천동,일,15,F,1,15,26
20201115,"85,671,906",127.1340485,37.66617203,41,경기도,4136,남양주시,41360310,별내면,일,5,F,4,7,4
20201115,"85,671,906",127.1340485,37.66617203,41,경기도,4136,남양주시,41360310,별내면,일,13,M,5,3,6
20201115,"76,008,194",126.792984,37.52220917,41,경기도,4119,부천시,41190606,부천동,일,3,F,3,17,8
20201109,"85,559,534",127.1309204,37.4953537,11,서울특별시,1171,송파구,11710632,가락2동,월,12,F,2,8,4
20201109,"83,304,027",127.0502167,37.65371323,11,서울특별시,1132,도봉구,11320514,창4동,월,17,M,5,49,18
20201109,"85,559,534",127.1309204,37.4953537,11,서울특별시,1171,송파구,11710632,가락2동,월,8,M,1,51,9
20201109,"82,231,288",127.014595,37.29032135,41,경기도,4111,수원시,41111580,영화동,월,7,M,1,5,5
20201109,"74,488,126",126.7399826,37.44842148,28,인천광역시,2820,남동구,28200560,만수1동,월,18,M,5,4,4
20201109,"76,727,766",126.8200073,37.34975815,41,경기도,4127,안산시,41273600,선부3동,월,0,M,1,4,4
20201109,"75,671,819",126.7828064,37.34367752,41,경기도,4139,시흥시,41390581,군자동,월,9,F,7,22,4
20201109,"83,752,407",127.0650101,37.83763886,41,경기도,4163,양주시,41630530,회천1동,월,13,F,4,19,8
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,21,F,6,12,5
20201109,"80,695,089",126.9613876,37.15713501,41,경기도,4159,화성시,41590410,정남면,월,19,M,4,3,3
20201109,"125,761,395",128.5302734,35.85710907,27,대구광역시,2729,달서구,27290571,용산1동,월,6,M,1,8,4
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,23,M,5,19,13
20201116,"80,679,980",126.9579468,37.55823517,11,서울특별시,1141,서대문구,11410555,북아현동,월,14,F,2,12,4
20201116,"74,424,752",126.7348557,37.72870255,41,경기도,4148,파주시,41480560,운정2동,월,18,M,1,69,8
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,16,M,7,7,4
20201116,"79,464,079",126.9148407,37.56839371,11,서울특별시,1144,마포구,11440730,성산2동,월,7,M,4,6,3
20201116,"80,679,980",126.9579468,37.55823517,11,서울특별시,1141,서대문구,11410555,북아현동,월,19,F,7,12,4
